name,status,priority
Club,planned,P2
Mace,planned,P2
War hammer,planned,P2
Battle axe,planned,P2
Dagger,planned,P2
Short sword,planned,P2
Longsword,planned,P2
Greatsword,planned,P2
Falchion,planned,P2
Sabre,planned,P2
Scimitar,planned,P2
Katana,planned,P2
Tachi,planned,P2
Jian,planned,P2
Dao,planned,P2
Miao dao,planned,P2
Khopesh,planned,P2
Gladius,planned,P2
Spatha,planned,P2
Rapier,planned,P2
Estoc,planned,P2
Spear,planned,P2
Pike,planned,P2
Lance,planned,P2
Halberd,planned,P2
Glaive,planned,P2
Guan dao,planned,P2
Ji,planned,P2
Ge,planned,P2
Trident,planned,P2
Billhook,planned,P2
Poleaxe,planned,P2
Flail,planned,P2
Quarterstaff,planned,P2
Javelin,planned,P2
Throwing axe,planned,P2
Chakram,planned,P2
