name,status,priority
F-22,planned,P1
F-35A,planned,P1
F-35B,planned,P1
F-35C,planned,P1
F-15EX,planned,P1
F/A-18E/F,planned,P1
Rafale,planned,P1
Eurofighter Typhoon,planned,P1
Gripen E,planned,P1
Su-35,planned,P1
Su-57,planned,P1
J-10C,planned,P1
J-16,planned,P1
J-20,planned,P1
KF-21,planned,P1
Tejas Mk1A,planned,P1
B-2,planned,P1
B-21,planned,P1
Tu-160M,planned,P1
H-6K,planned,P1
A400M,planned,P1
C-17,planned,P1
C-130J,planned,P1
KC-46,planned,P1
E-7 Wedgetail,planned,P1
E-2D,planned,P1
EA-18G,planned,P1
AH-64E,planned,P1
Ka-52,planned,P1
Mi-28N,planned,P1
Z-10,planned,P1
Tiger helicopter,planned,P1
MQ-9,planned,P1
Bayraktar TB2,planned,P1
RQ-4,planned,P1
GlobalEye,planned,P1
Kızılelma,planned,P1
XQ-58A,planned,P1
