name,status,priority
M1A2 SEP v3,planned,P1
Leopard 2A7,planned,P1
Leopard 2A8,planned,P1
Challenger 3,planned,P1
Leclerc XLR,planned,P1
T-90M,planned,P1
T-14 Armata,planned,P1
Type 99A,planned,P1
K2 Black Panther,planned,P1
Merkava Mk 4,planned,P1
Arjun Mk 1A,planned,P1
M2A4 Bradley,planned,P1
Puma IFV,planned,P1
CV90,planned,P1
Boxer,planned,P1
Stryker,planned,P1
Patria AMV,planned,P1
Type 15 tank,planned,P1
PzH 2000,planned,P1
K9 Thunder,planned,P1
CAESAR,planned,P1
M777,planned,P1
2S35 Koalitsiya-SV,planned,P1
HIMARS,planned,P1
Tornado-S,planned,P1
Pantsir-S1,planned,P1
Tor-M2,planned,P1
Iron Dome launcher,planned,P1
THAAD launcher,planned,P1
