name,status,priority
Gerald R. Ford class,planned,P1
Nimitz class,planned,P1
Queen Elizabeth class,planned,P1
Type 003 carrier,planned,P1
America class,planned,P1
Wasp class,planned,P1
Type 075,planned,P1
Arleigh Burke class,planned,P1
Zumwalt class,planned,P1
Type 055,planned,P1
Type 052D,planned,P1
Horizon class,planned,P1
FREMM,planned,P1
Type 26,planned,P1
Constellation class,planned,P1
Admiral Gorshkov class,planned,P1
Sejong the Great class,planned,P1
Atago class,planned,P1
Virginia class,planned,P1
Columbia class,planned,P1
Astute class,planned,P1
Yasen class,planned,P1
Borei class,planned,P1
Type 094,planned,P1
Type 212,planned,P1
Kilo class,planned,P1
Sea Hunter USV,planned,P1
