name,status,priority
M4A1,planned,P1
HK416,planned,P1
HK417,planned,P1
FN SCAR-L,planned,P1
FN SCAR-H,planned,P1
CZ Bren 2,planned,P1
AK-12,planned,P1
AK-15,planned,P1
QBZ-95,planned,P1
QBZ-191,planned,P1
SIG MCX,planned,P1
SIG XM7,planned,P1
XM250,planned,P1
G36,planned,P1
Tavor X95,planned,P1
F2000,planned,P1
MP7,planned,P1
P90,planned,P1
Vector SMG,planned,P1
Glock 17,planned,P1
M17 pistol,planned,P1
FN Five-seveN,planned,P1
M110 SASS,planned,P1
Accuracy International AXMC,planned,P1
Barrett MRAD,planned,P1
M107,planned,P1
M2A1,planned,P1
Mk 47 grenade launcher,planned,P1
Javelin,planned,P1
NLAW,planned,P1
Panzerfaust 3,planned,P1
Spike missile,planned,P1
Mistral MANPADS,planned,P1
Verba MANPADS,planned,P1
