name,status,priority
AK-47,planned,P1
AKM,planned,P1
SKS,planned,P1
M14,planned,P1
FN FAL,planned,P1
G3,planned,P1
M16A1,planned,P1
Uzi,planned,P1
MAT-49,planned,P1
Sterling SMG,planned,P1
PK machine gun,planned,P1
RPD,planned,P1
M60 machine gun,planned,P1
RPG-2,planned,P1
RPG-7,planned,P1
M72 LAW,planned,P1
M40 recoilless rifle,planned,P1
T-54,planned,P1
T-55,planned,P1
T-62,planned,P1
M48 Patton,planned,P1
M60 Patton,planned,P1
Centurion,planned,P1
Chieftain,planned,P1
Leopard 1,planned,P1
BMP-1,planned,P1
M113,planned,P1
BTR-60,planned,P1
ZSU-23-4,planned,P1
MiG-15,planned,P1
MiG-17,planned,P1
MiG-21,planned,P1
F-86,planned,P1
F-100,planned,P1
F-104,planned,P1
F-4 Phantom II,planned,P1
B-52,planned,P1
Tu-95,planned,P1
A-4 Skyhawk,planned,P1
A-6 Intruder,planned,P1
UH-1,planned,P1
Mi-8,planned,P1
