name,status,priority
Chassepot,planned,P2
Martini-Henry,planned,P2
Winchester 1873,planned,P2
Colt Single Action Army,planned,P2
Mauser Gewehr 98,planned,P2
Lee-Enfield,planned,P2
Mosin-Nagant,planned,P2
Mannlicher M1895,planned,P2
Springfield M1903,planned,P2
Luger P08,planned,P2
Mauser C96,planned,P2
Webley revolver,planned,P2
Maxim gun,planned,P2
Vickers gun,planned,P2
MG 08,planned,P2
Lewis gun,planned,P2
Chauchat,planned,P2
Madsen,planned,P2
Browning M1917,planned,P2
MP 18,planned,P2
BAR M1918,planned,P2
