name,status,priority
AK-74,planned,P1
M16A2,planned,P1
FAMAS,planned,P1
Steyr AUG,planned,P1
L85A1,planned,P1
MP5,planned,P1
PKM,planned,P1
FN Minimi,planned,P1
M249,planned,P1
SVD,planned,P1
M24,planned,P1
Barrett M82,planned,P1
AT4,planned,P1
Carl Gustaf M2,planned,P1
TOW,planned,P1
MILAN,planned,P1
HOT,planned,P1
Stinger,planned,P1
Igla,planned,P1
T-64,planned,P1
T-72,planned,P1
T-80,planned,P1
M1 Abrams,planned,P1
Leopard 2,planned,P1
Challenger 1,planned,P1
Merkava,planned,P1
BMP-2,planned,P1
Bradley,planned,P1
Warrior IFV,planned,P1
M109,planned,P1
2S3 Akatsiya,planned,P1
BM-21 Grad,planned,P1
M270 MLRS,planned,P1
F-14,planned,P1
F-15,planned,P1
F-16,planned,P1
F/A-18,planned,P1
A-10,planned,P1
MiG-23,planned,P1
MiG-29,planned,P1
Su-27,planned,P1
Su-25,planned,P1
AH-64,planned,P1
Mi-24,planned,P1
CH-47,planned,P1
Black Hawk,planned,P1
E-3 Sentry,planned,P1
Harpoon,planned,P1
Exocet,planned,P1
Tomahawk,planned,P1
S-300,planned,P1
Patriot,planned,P1
Aegis combat system,planned,P1
Los Angeles class,planned,P1
Typhoon class,planned,P1
