name,status,priority
Bf 109,planned,P2
Fw 190,planned,P2
Me 262,planned,P2
Ju 87,planned,P2
He 111,planned,P2
Ju 88,planned,P2
Spitfire,planned,P2
Hurricane,planned,P2
Mosquito,planned,P2
Lancaster,planned,P2
B-17,planned,P2
B-24,planned,P2
B-25,planned,P2
B-29,planned,P2
P-38,planned,P2
P-40,planned,P2
P-47,planned,P2
P-51,planned,P2
F4F Wildcat,planned,P2
F6F Hellcat,planned,P2
F4U Corsair,planned,P2
A6M Zero,planned,P2
Ki-43,planned,P2
Ki-84,planned,P2
Il-2,planned,P2
Yak-3,planned,P2
La-7,planned,P2
Pe-2,planned,P2
