name,status,priority
Panzer I,planned,P2
Panzer II,planned,P2
Panzer III,planned,P2
Panzer IV,planned,P2
Panther,planned,P2
Tiger I,planned,P2
Tiger II,planned,P2
StuG III,planned,P2
Jagdpanther,planned,P2
M3 Lee,planned,P2
M4 Sherman,planned,P2
M10 Wolverine,planned,P2
M18 Hellcat,planned,P2
M26 Pershing,planned,P2
T-26,planned,P2
BT-7,planned,P2
T-34,planned,P2
T-34-85,planned,P2
KV-1,planned,P2
IS-2,planned,P2
SU-76,planned,P2
SU-100,planned,P2
Churchill,planned,P2
Cromwell,planned,P2
Matilda II,planned,P2
Valentine,planned,P2
Crusader,planned,P2
Centurion prototype,planned,P2
Type 95 Ha-Go,planned,P2
Type 97 Chi-Ha,planned,P2
