name,status,priority
M1 Garand,planned,P2
M1 Carbine,planned,P2
Thompson,planned,P2
M3 Grease Gun,planned,P2
BAR M1918A2,planned,P2
Browning M1919,planned,P2
Browning M2,planned,P2
Karabiner 98k,planned,P2
MP 40,planned,P2
StG 44,planned,P2
MG 34,planned,P2
MG 42,planned,P2
Walther P38,planned,P2
PPSh-41,planned,P2
PPS-43,planned,P2
SVT-40,planned,P2
DP-27,planned,P2
Mosin-Nagant M91/30,planned,P2
Type 100 SMG,planned,P2
Arisaka Type 99,planned,P2
Bren gun,planned,P2
Sten gun,planned,P2
Lee-Enfield No.4,planned,P2
Owen gun,planned,P2
